IDcountry,M,S,R
SGP,573,555,545
KOR,554,545,536
JPN,536,538,523
CHE,531,526,523
NLD,523,525,518
EST,521,525,516
FIN,519,524,516
CAN,518,523,512
POL,518,522,512
BEL,515,522,511
DEU,514,521,509
VNM,511,521,509
AUT,506,516,509
AUS,504,515,508
IRL,501,514,508
SVN,501,514,505
DNK,500,508,504
NZL,500,506,499
CZE,499,505,498
FRA,495,502,496
GBR,494,499,493
ISL,493,498,490
LVA,491,497,490
LUX,490,496,489
NOR,489,496,488
PRT,487,495,488
ITA,485,494,488
ESP,484,494,488
RUS,482,491,486
SVK,482,491,485
USA,481,489,483
LTU,479,486,483
SWE,478,485,481
HUN,477,478,477
HRV,471,471,477
ISR,466,470,475
GRC,453,467,475
SRB,449,463,463
TUR,448,448,449
ROU,445,446,446
BGR,439,445,441
ARE,434,444,441
KAZ,432,439,441
THA,427,438,438
CHL,423,429,436
MYS,421,425,424
MEX,413,420,422
MNE,410,416,411
URY,409,415,410
CRI,407,410,404
ALB,394,409,403
BRA,391,406,399
ARG,388,405,398
TUN,388,399,396
JOR,386,398,396
COL,376,397,394
QAT,376,384,393
IDN,375,382,388
PER,368,373,384
